"","LAV_BLDG","LLIVING","YR_BUILT","LU","lmres"
"123",12.0581525154536,5.87493073085203,1890,"CD",-0.321017384094024
"124",12.2968270087986,6.23832462503951,1890,"CD",-0.31665266576428
"125",12.2968270087986,6.23832462503951,1890,"CD",-0.31665266576428
"126",12.2968270087986,6.31354804627709,1890,"CD",-0.365155359915136
"127",12.2968270087986,6.23832462503951,1890,"CD",-0.31665266576428
"128",12.2968270087986,6.31354804627709,1890,"CD",-0.365155359915136
"129",12.2968270087986,6.16541785423142,1890,"CD",-0.269643705684382
"130",12.2968270087986,6.25575004175337,1890,"CD",-0.327888257597495
"131",12.2968270087986,5.92425579741453,1890,"CD",-0.114146796741133
"132",13.0657930259159,6.69332366826995,1890,"CD",0.158938241983345
"134",13.012994840349,6.99576615630485,1894,"CD",-0.0888693602525221
"135",13.2465260200248,6.92559519711047,1894,"CD",0.189906777922663
"136",13.3851890738572,7.1276936993474,1894,"CD",0.198260392473153
"137",13.3838041386509,7.02997291170639,1894,"CD",0.259884044182332
"138",13.3555364643557,7.02997291170639,1894,"CD",0.231616369887167
"139",13.3839581150928,6.99576615630485,1894,"CD",0.282093914491307
"145",14.4825704037609,8.64435433703292,1899,"E",0.0869165545988616
"146",14.1183521421739,8.38366179879172,1880,"R1",1.29011620573572
"147",13.4431416773453,8.4040244933106,1899,"C",0.666493417830523
"148",13.8640149670239,8.62011072542292,1899,"A",-0.123329176768968
"149",14.5879309194187,9.01857435635423,1899,"E",-0.0490131933826276
"151",13.8466651735967,7.64969262371151,1900,"CD",0.323161077814164
"152",13.7604205916463,7.40671073017764,1900,"CD",0.393586802430239
"153",14.1181711403467,7.71601526664259,1900,"CD",0.551903410413608
"154",13.297324579792,6.84587987526405,1900,"CD",0.292104327672584
"155",12.8338809847818,6.63463335786169,1900,"CD",-0.0351313542245172
"156",13.7069226175474,7.29709100516042,1900,"CD",0.410769633696672
"157",13.9336490859813,9.5468126085974,1899,"A",-0.651215580929864
"158",15.1671617131406,9.35062391742324,1899,"E",0.316118081353139
"159",14.7270701154625,9.17699039229463,1899,"E",-0.0120177766750538
"160",14.9824666186109,9.26520727341702,1950,"E",0.186498085661925
"161",15.4777685985817,10.5386347887981,1899,"E",-0.139282840271427
"162",19.2738046002196,13.6278934042151,1900,"E",1.66485538124269
"163",16.1781840349073,11.7705322768388,1910,"EA",-1.60461921527855e-16
"171",16.4105565864329,11.3582813300807,1987,"E",0.265011962218268
"173",16.5996448726041,11.7667068478149,1987,"E",0.190754901366522
"176",15.1588974180729,10.5295596643065,1986,"E",-0.452302545530234
"177",14.1722754978532,8.63550941823428,1906,"E",-0.217675308503485
"178",13.411594249846,8.11342663994365,1900,"E",-0.641727074625337
"180",12.9717730187718,6.70686233660275,1900,"CD",0.0561887476854765
"181",13.1213628770707,6.59714570188665,1900,"CD",0.276521896961391
